Params,Original Edges,Found Edges,Degree Mean,ESP Mean,Geodesic Mean,Found Sigma
1,9017.35 ± 389.943,15300.85 ± 635.273,0.028 ± 0.003,0.02 ± 0.003,0.115 ± 0.012,0.692
2,1749.65 ± 155.846,4257.5 ± 332.685,0.054 ± 0.007,0.142 ± 0.026,0.158 ± 0.022,0.747
3,352.85 ± 35.888,1104.1 ± 105.989,0.206 ± 0.025,0.359 ± 0.056,0.56 ± 0.036,0.779
4,74.3 ± 12.791,329.15 ± 42.781,0.376 ± 0.037,0.164 ± 0.066,0.157 ± 0.052,0.781
5,15.75 ± 4.182,112.5 ± 16.684,0.337 ± 0.035,0.044 ± 0.037,0.011 ± 0.004,0.76
6,3.2 ± 1.939,47.15 ± 13.055,0.213 ± 0.05,0.005 ± 0.016,0.002 ± 0.001,0.736
7,0.25 ± 0.433,15.85 ± 5.052,0.091 ± 0.027,0.741 ± 0.43,0.0 ± 0.0,0.721
8,0.1 ± 0.3,6.6 ± 2.267,0.04 ± 0.014,0.9 ± 0.3,0.0 ± 0.0,0.712
9,0.0 ± 0.0,2.05 ± 1.717,0.013 ± 0.011,0.8 ± 0.4,0.0 ± 0.0,0.709
10,0.0 ± 0.0,0.65 ± 0.792,0.004 ± 0.005,0.45 ± 0.497,0.0 ± 0.0,0.708
